UniqueID,Species,Breed,Gender,SpayNeuter,Borough,ZipCode,Season,trainability_value,group,Age_Range
7111,DOG,bull terrier,M,FALSE,Queens,11368,Spring,0.31,Terrier Group,Puppy/Young (0-2 Years)
7112,DOG,bull terrier,F,FALSE,Queens,11362,Summer,0.57,Terrier Group,
7114,DOG,bull terrier,F,FALSE,Queens,11436,Summer,0.53,Terrier Group,Puppy/Young (0-2 Years)
7115,DOG,bull terrier,U,FALSE,Queens,11372,Summer,0.0,Terrier Group,
7117,DOG,staffordshire bull terrier,M,FALSE,Queens,11415,Summer,0.0,Terrier Group,Puppy/Young (0-2 Years)
7118,DOG,bull terrier,M,FALSE,Queens,,Summer,0.35,Terrier Group,Adult (3-7 Years)
7119,DOG,miniature bull terrier,M,FALSE,Queens,11358,Summer,0.33,Terrier Group,Adult (3-7 Years)
7120,DOG,bull terrier,U,FALSE,Queens,11434,Summer,0.11,Terrier Group,
7121,DOG,german shepherd dog,M,FALSE,Queens,11355,Summer,0.74,Herding Group,Puppy/Young (0-2 Years)
7122,DOG,shih tzu,M,FALSE,Queens,,Spring,0.61,Toy Group,Puppy/Young (0-2 Years)
7123,DOG,rottweiler,M,FALSE,Queens,11423,Summer,0.64,Working Group,Puppy/Young (0-2 Years)
7124,DOG,bull terrier,M,FALSE,Queens,11372,Summer,0.27,Terrier Group,Adult (3-7 Years)
7125,DOG,dachshund,F,TRUE,Queens,11372,Summer,0.59,Hound Group,Adult (3-7 Years)
7126,DOG,chihuahua,U,FALSE,Queens,,Summer,0.21,Toy Group,
7127,DOG,poodle (standard),M,TRUE,Queens,11355,Summer,0.81,Non-Sporting Group,Adult (3-7 Years)
7128,DOG,bichon frise,M,TRUE,Queens,11356,Summer,0.5,Non-Sporting Group,Adult (3-7 Years)
7129,DOG,maltese,M,FALSE,Queens,11433,Summer,0.59,Toy Group,Puppy/Young (0-2 Years)
7131,DOG,bull terrier,U,TRUE,Queens,11435,Summer,0.0,Terrier Group,
7132,DOG,siberian husky,M,FALSE,Queens,11413,Summer,0.43,Working Group,Puppy/Young (0-2 Years)
7133,DOG,german spitz,F,TRUE,Queens,11101,Summer,0.79,Foundation Stock Service,Adult (3-7 Years)
7134,DOG,french bulldog,M,TRUE,Queens,11105,Summer,0.18,Non-Sporting Group,Senior (8+ Years)
7135,DOG,yorkshire terrier,U,FALSE,Queens,11385,Summer,0.09,Toy Group,
7137,DOG,standard schnauzer,U,FALSE,Queens,,Summer,0.0,Working Group,
7138,DOG,german shepherd dog,U,FALSE,Queens,11377,Summer,1.0,Herding Group,
7141,DOG,beagle,M,FALSE,Queens,11373,Summer,0.55,Hound Group,Puppy/Young (0-2 Years)
7142,DOG,rottweiler,M,FALSE,Queens,,Summer,0.22,Working Group,Adult (3-7 Years)
7143,DOG,boxer,U,FALSE,Queens,11435,Summer,0.33,Working Group,
7146,DOG,chihuahua,M,FALSE,Queens,,Summer,0.23,Toy Group,Adult (3-7 Years)
7147,DOG,siberian husky,M,FALSE,Queens,11423,Summer,0.44,Working Group,Puppy/Young (0-2 Years)
7148,DOG,boxer,U,FALSE,Queens,,Summer,0.7,Working Group,
7149,DOG,bull terrier,M,TRUE,Queens,11377,Summer,0.53,Terrier Group,Adult (3-7 Years)
7150,DOG,yorkshire terrier,U,FALSE,Queens,11369,Summer,0.23,Toy Group,
7151,DOG,yorkshire terrier,U,FALSE,Queens,11369,Summer,0.0,Toy Group,
7152,DOG,havanese,F,FALSE,Queens,,Summer,0.84,Toy Group,Adult (3-7 Years)
7153,DOG,boxer,M,TRUE,Queens,11416,Summer,0.67,Working Group,Senior (8+ Years)
7154,DOG,bull terrier,U,FALSE,Queens,11427,Summer,0.28,Terrier Group,
7155,DOG,border collie,M,FALSE,Queens,11385,Summer,0.39,Herding Group,
7156,DOG,cocker spaniel,U,FALSE,Queens,11106,Summer,0.8,Sporting Group,
7157,DOG,shih tzu,M,FALSE,Queens,11420,Summer,0.29,Toy Group,Adult (3-7 Years)
7158,DOG,bull terrier,U,FALSE,Queens,,Summer,0.4,Terrier Group,
7159,DOG,maltese,M,FALSE,Queens,11356,Summer,0.68,Toy Group,Adult (3-7 Years)
7160,DOG,labrador retriever,M,TRUE,Queens,,Summer,0.6,Sporting Group,Adult (3-7 Years)
7162,DOG,shih tzu,M,FALSE,Queens,11368,Summer,0.24,Toy Group,Puppy/Young (0-2 Years)
7164,DOG,cocker spaniel,F,FALSE,Queens,11373,Summer,0.89,Sporting Group,Senior (8+ Years)
7165,DOG,maltese,M,TRUE,Queens,11374,Spring,0.78,Toy Group,Adult (3-7 Years)
7166,DOG,poodle (standard),U,FALSE,Queens,11354,Summer,0.75,Non-Sporting Group,
7167,DOG,finnish spitz,U,FALSE,Queens,11436,Summer,0.61,Non-Sporting Group,
7168,DOG,bull terrier,U,FALSE,Queens,11355,Summer,0.31,Terrier Group,
7169,DOG,bull terrier,M,FALSE,Queens,,Summer,0.08,Terrier Group,
7173,DOG,bull terrier,M,FALSE,Queens,11429,Summer,0.49,Terrier Group,Adult (3-7 Years)
7174,DOG,bull terrier,M,TRUE,Queens,11434,Summer,0.09,Terrier Group,Puppy/Young (0-2 Years)
7175,DOG,shih tzu,M,FALSE,Queens,11421,Summer,0.2,Toy Group,Adult (3-7 Years)
7177,DOG,maltese,U,FALSE,Queens,,Summer,0.39,Toy Group,
7178,DOG,siberian husky,M,TRUE,Queens,11415,Summer,0.48,Working Group,Adult (3-7 Years)
7179,DOG,german shepherd dog,M,TRUE,Queens,11377,Summer,0.76,Herding Group,Puppy/Young (0-2 Years)
7180,DOG,samoyed,M,FALSE,Queens,,Summer,0.17,Working Group,Senior (8+ Years)
7181,DOG,bull terrier,M,FALSE,Queens,,Summer,0.03,Terrier Group,Adult (3-7 Years)
7182,DOG,bull terrier,U,FALSE,Queens,,Summer,0.0,Terrier Group,
7186,DOG,german shepherd dog,F,TRUE,Queens,11435,Summer,1.0,Herding Group,Senior (8+ Years)
7187,DOG,cairn terrier,M,FALSE,Queens,,Summer,0.67,Terrier Group,Senior (8+ Years)
7188,DOG,german shepherd dog,M,FALSE,Queens,11101,Summer,0.61,Herding Group,Adult (3-7 Years)
